Tamanho,BubbleSort,MergeSort,QuickSort
100,46000.000000000000,47000.000000000000,47000.000000000000
300,47000.000000000000,47000.000000000000,47000.000000000000
500,48000.000000000000,47000.000000000000,47000.000000000000
1000,49000.000000000000,47000.000000000000,48000.000000000000
10000,287000.000000000000,103000.000000000000,66000.000000000000
